dst,dst_burton,dst_corrector,dst_final,err_burton,err_corrector,err_final,anomaly_score,recon_error,alert_level,w_burton,w_corrector,blend_certainty,storm_phase
-19.0,-3.665773391723633,-21.870603561401367,-12.727886199951172,15.334226608276367,-2.870603561401367,6.272113800048828,0.0,0.03810534253716469,GREEN,0.5022138953208923,0.49778616428375244,0.004427731037139893,0
-31.0,-3.661043405532837,-25.358112573623657,-14.380769729614258,27.338956594467163,5.641887426376343,16.619230270385742,0.0,0.038064051419496536,GREEN,0.5059366822242737,0.4940633475780487,0.011873334646224976,2
-31.0,-3.6531190872192383,-25.34645366668701,-15.060539245605469,27.34688091278076,5.653546333312988,15.939460754394531,0.0,0.038212817162275314,GREEN,0.47415095567703247,0.5258490443229675,0.05169808864593506,2
-33.0,-3.645211935043335,-26.787254095077515,-15.124258995056152,29.354788064956665,6.212745904922485,17.875741004943848,0.0,0.03804583102464676,GREEN,0.5039743781089783,0.4960256516933441,0.007948726415634155,2
-33.0,-3.637321949005127,-26.414974689483643,-14.900908470153809,29.362678050994873,6.585025310516357,18.09909152984619,0.0,0.03766259178519249,GREEN,0.5054982900619507,0.49450165033340454,0.010996639728546143,2
-33.0,-3.629448890686035,-26.684792518615723,-15.113327026367188,29.370551109313965,6.315207481384277,17.886672973632812,0.0,0.03741103783249855,GREEN,0.5018994808197021,0.49810054898262024,0.003798931837081909,2
-33.0,-3.6215929985046387,-27.478816509246826,-14.971505165100098,29.37840700149536,5.521183490753174,18.028494834899902,0.0,0.03711196407675743,GREEN,0.5242567658424377,0.47574320435523987,0.048513561487197876,3
-33.0,-3.6137540340423584,-26.603349447250366,-14.566287994384766,29.38624596595764,6.396650552749634,18.433712005615234,0.0,0.03699132055044174,GREEN,0.5235874652862549,0.4764126241207123,0.0471748411655426,3
-33.0,-3.6059319972991943,-26.525439977645874,-14.512160301208496,29.394068002700806,6.474560022354126,18.487839698791504,0.0,0.03683390095829964,GREEN,0.5241507887840271,0.4758491516113281,0.048301637172698975,3
-33.0,-3.5981268882751465,-26.061570644378662,-14.301484107971191,29.401873111724854,6.938429355621338,18.69851589202881,0.0,0.036627136170864105,GREEN,0.5235211253166199,0.4764788746833801,0.047042250633239746,3
-33.0,-3.590338706970215,-25.678004264831543,-14.138593673706055,29.409661293029785,7.321995735168457,18.861406326293945,0.0,0.0363667756319046,GREEN,0.5224369168281555,0.47756311297416687,0.04487380385398865,3
-33.0,-3.5825674533843994,-25.39593529701233,-13.978437423706055,29.4174325466156,7.604064702987671,19.021562576293945,0.0,0.03617140278220177,GREEN,0.5234174728393555,0.47658252716064453,0.04683494567871094,3
-33.0,-3.574812889099121,-25.248820304870605,-13.92855453491211,29.42518711090088,7.7511796951293945,19.07144546508789,0.0,0.03599811717867851,GREEN,0.5222968459129333,0.47770315408706665,0.0445936918258667,3
-33.0,-3.567075252532959,-25.510465145111084,-14.055937767028809,29.43292474746704,7.489534854888916,18.94406223297119,0.0,0.03570408746600151,GREEN,0.5220035314559937,0.47799643874168396,0.04400709271430969,3
-33.0,-3.559354305267334,-25.640262126922607,-14.050622940063477,29.440645694732666,7.359737873077393,18.949377059936523,0.0,0.0355561263859272,GREEN,0.5248714685440063,0.47512850165367126,0.04974296689033508,3
